city,comparable,date,new_cases_raw,new_cases_7dayMA,new_cases_per1M_raw,new_cases_per1M_7dayMA,new_deaths_raw,new_deaths_7dayMA,new_deaths_per10M_raw,new_deaths_per10M_7dayMA
Cleveland,0,2020-12-11,1120,1333,90.0425048860118,107.166659833084,20,6,160.79018729645,48.2370561889349
Cleveland,0,2020-12-12,1261,1383,101.378213090412,111.186414515495,6,6.42857142857143,48.2370561889349,51.6825602024303
Cleveland,0,2020-12-13,1412,1453.14285714286,113.517872231293,116.825556084249,0,6.42857142857143,0,51.6825602024303
Cleveland,0,2020-12-14,798,1371.71428571429,64.1552847312834,110.279098458608,-3,5.57142857142857,-24.1185280944675,44.7915521754396
Cleveland,0,2020-12-15,752,1091.85714285714,60.4571104234651,87.7799572504832,6,6.42857142857143,48.2370561889349,51.6825602024303
Cleveland,0,2020-12-16,372,993,29.9069748371396,79.8323279926873,1,6.71428571428571,8.03950936482248,53.9795628780938
Cleveland,0,2020-12-17,936,950.142857142857,75.2498076547385,76.3868239791919,10,5.71428571428571,80.3950936482248,45.9400535132713
Cleveland,0,2020-12-18,936,923.857142857143,75.2498076547385,74.2735815175814,0,2.85714285714286,0,22.9700267566357
Cleveland,0,2020-12-19,902,872.571428571429,72.5163744706988,70.1504617147653,1,2.14285714285714,8.03950936482248,17.2275200674768
Cleveland,0,2020-12-20,1165,837.285714285714,93.6602841001819,67.3136634103208,0,2.14285714285714,0,17.2275200674768
Cleveland,0,2020-12-21,681,820.571428571429,54.7490587744411,65.9699168450576,20,5.42857142857143,160.79018729645,43.6430508376078
Cleveland,0,2020-12-22,673,809.285714285714,54.1058980252553,65.0626007881705,9,5.85714285714286,72.3555842834024,47.0885548511031
Cleveland,0,2020-12-23,933,889.428571428572,75.0086223737938,71.5056932934068,2,6,16.079018729645,48.2370561889349
Cleveland,0,2020-12-24,899,884.142857142857,72.2751891897541,71.0807477984091,1,4.71428571428571,8.03950936482248,37.9005441484489
Cleveland,0,2020-12-25,0,750.428571428571,0,60.3307752763036,0,4.71428571428571,0,37.9005441484489
